NAME,COUNTRY,CITY,POSTALCODE,WEBSITE,CONTACT_NAME,POSITION
andBeyond,South Africa,"Sandown, Johannesburg",2010,https://navigate.itb.com/company/andBeyond--1002351,Mariska Neethling,Sales Manager Europe
Andishe Gardeshgare Asia,Iran,Tehran,1533876914,https://navigate.itb.com/company/Andishe-Gardeshgare-Asia--1216251,Ehsan Hosseiniahangari,CEO
"Angel Hotel, Abergavenny",United Kingdom,Abergavenny,NP7 5EN,https://navigate.itb.com/company/Angel-Hotel-Abergavenny--1215773,Jo Nugent,Head Of Sales & Marketing
Angsana Laguna Phuket,Thailand,Phuket,83110,https://navigate.itb.com/company/Angsana-Laguna-Phuket--1204721,Ivan Neal Scott,Director of Sales and Marketing
Antigua and Barbuda Tourism Authority,Antigua & Barbuda,St. Johns,****,https://navigate.itb.com/company/Antigua-and-Barbuda-Tourism-Authority--1002517,Cherrie Osborne,Director of Tourism UK & Europe
Apartment Hotel MIMARU,Japan,"Tokyo, Minatoku, Shiba",108-8416,https://navigate.itb.com/company/Apartment-Hotel-MIMARU--1206440,Atsushi Kobayashi,
Apex Alliance Hotel Management,Lithuania,Vilnius,09324,https://navigate.itb.com/company/Apex-Alliance-Hotel-Management--1002596,Zinaida Karpiciene,Group Director of Sales
AP Hotels & resorts,Portugal,Albufeira - Algarve,8200-379,https://navigate.itb.com/company/AP-Hotels-resorts--1002561,Lino Martins,
Apsara Beachfront Resort and Villa,Thailand,Phang-Nga,82200,https://navigate.itb.com/company/Apsara-Beachfront-Resort-and-Villa--1002656,Pensri Riyapan,Assistant Managing Director
Apukka Resort,Finland,Rovaniemi,96900,https://navigate.itb.com/company/Apukka-Resort--1205432,Henna Kyllönen,
AQUA DOME - Tirol Therme Längenfeld GmbH & Co KG,Austria,Längenfeld,6444,https://navigate.itb.com/company/AQUA-DOME---Tirol-Therme-Längenfeld-GmbH-Co-KG--1002688,Sascha Rössel,Leitung Marketing & Sales
AQUA HOTEL GRUP,Spain,"Santa Susanna,Barcelona",08035,https://navigate.itb.com/company/AQUA-HOTEL-GRUP--1205689,Montse Gonzàlez i Collet,Sales Director
Aqualuz Lagos By The Editory,Portugal,Porto,4471-907,https://navigate.itb.com/company/Aqualuz-Lagos-By-The-Editory--1216900,Sandra Ramos,
Aqua Natura Hotels,Portugal,Porto Moniz,9270-156,https://navigate.itb.com/company/Aqua-Natura-Hotels--1002693,João Carlos Nunes,
Aquila Collection,South Africa,Cape Town,8005,https://navigate.itb.com/company/Aquila-Collection--1217096,Suzanne Van Wyk,Trade Relations
Aquila Hotels & Resorts,Greece,"Rethymno, Crete",74100,https://navigate.itb.com/company/Aquila-Hotels-Resorts--1002714,Andreas Floros,Reservations Manager
ARADA,United Arab Emirates,Sharjah,0000,https://navigate.itb.com/company/ARADA--1216229,Elena Salen,Partnership and Sponsorship Manager
Araliya Green City (Pvt) Ltd,Sri Lanka,Nuwara Eliya,22200,https://navigate.itb.com/company/Araliya-Green-City-Pvt-Ltd--1214470,Pallewatte Gamaralalage Wijayananda Sirisena,Chairman
Arbat Issyk-Kul Hotel,Kyrgyzstan,Cholpon-Ata city,722124,https://navigate.itb.com/company/Arbat-Issyk-Kul-Hotel--1216463,Nurbek Alamanov,Director
arcona Management GmbH,Germany,Rostock,18055,https://navigate.itb.com/company/arcona-Management-GmbH--1002815,Anne Volke,Director Marketing
ARCOTEL Hotels & Resorts GmbH,Austria,Wien,1160,https://navigate.itb.com/company/ARCOTEL-Hotels-Resorts-GmbH--1002821,Alexandra Letz,Ass. to Head of Sales
Arctic Nook,Finland,Kittilä,90130,https://navigate.itb.com/company/Arctic-Nook--1215566,Esa Kataisto,
Arena Beach,Maldives,Male',0000,https://navigate.itb.com/company/Arena-Beach--1215964,Aishath Mahufa Samee,"Manager, Sales & Marketing"
Arena Hospitality Group,Croatia,Pula,52100,https://navigate.itb.com/company/Arena-Hospitality-Group--1002856,Zoran Vucelić,Head fo Marketing
Arp-Hansen Hotel Group,Denmark,Gentofte,2820,https://navigate.itb.com/company/Arp-Hansen-Hotel-Group--1002990,Emmy Pettersson,Key Account Manager
ARTOTEL GROUP,Indonesia,Jakarta,12410,https://navigate.itb.com/company/ARTOTEL-GROUP--1003057,Prisca Marcela,Director of Sales
Aruba Ocean Villas,Aruba,Savaneta,0000,https://navigate.itb.com/company/Aruba-Ocean-Villas--1003076,Osyth Henriquez,Owner
Aruba Tourism Authority,Aruba,Oranjestad,xxxx,https://navigate.itb.com/company/Aruba-Tourism-Authority--1003077,Caresse Imon,Management Assistant
ASB Tanzania Ltd T/A Gran Melia Arusha,Tanzania,ARUSHA,0,https://navigate.itb.com/company/ASB-Tanzania-Ltd-T/A-Gran-Melia-Arusha--1206627,Godlove Mlaki,Sales & Marketing manager
"Ascott International Management Vietnam Co., Ltd",Vietnam,Hanoi,100000,https://navigate.itb.com/company/Ascott-International-Management-Vietnam-Co-Ltd--1216150,Kim Yen Nguyen,"Director of Sales, Leisure and MICE, Vietnam, Cambodia and Myanmar"
Asia Aventura Travel,Vietnam,Hanoi,100000,https://navigate.itb.com/company/Asia-Aventura-Travel--1003169,Ha Tran,Marketing Manager
Asia Ecolodge,Vietnam,Hanoi,100000,https://navigate.itb.com/company/Asia-Ecolodge--1216005,Thai Hai Nguyen,Marketing Manager
Asilia Africa,South Africa,Cape Town,7441,https://navigate.itb.com/company/Asilia-Africa--1203273,Zukiso Makalima,Agent Relationship Manager - Europe
Asilia Africa Lodges and Camps,South Africa,Cape Town,7441,https://navigate.itb.com/company/Asilia-Africa-Lodges-and-Camps--1215033,Rabelani Nemakanga,Product Director
ASKA HOTELS,Türkiye,ANTALYA,07112,https://navigate.itb.com/company/ASKA-HOTELS--1003219,BUNYAMIN VURAL,
Association of Hotels and Restaurants of Latvia,Latvia,Rīga,LV1050,https://navigate.itb.com/company/Association-of-Hotels-and-Restaurants-of-Latvia--1215519,Līga Elsiņa-Zuicena,CEO
ASSOCIAZIONE TURISTICA DI QUARTU SANT'ELENA,Italy,QUARTU S. ELENA,09045,https://navigate.itb.com/company/ASSOCIAZIONE-TURISTICA-DI-QUARTU-SANT'ELENA--1003368,ROBERTO MATTA,AMMINISTRATORE
ASTERIAS BEACH HOTEL,Cyprus,Ammochostos,5340,https://navigate.itb.com/company/ASTERIAS-BEACH-HOTEL--1003380,ANDREAS CHRISTODOULIDES,GENERAL MANAGER
ASTROCOCO Resort,Thailand,Surat Thani,84310,https://navigate.itb.com/company/ASTROCOCO-Resort--1217169,Bhupong Chareonsuk,MD
ATLANTICA HOTEL MANAGEMENT LTD,Cyprus,Limassol,4060,https://navigate.itb.com/company/ATLANTICA-HOTEL-MANAGEMENT-LTD--1189081,Panagiota Hadjiperikli,
ATLANTIC Hotels Management GmbH,Germany,Bremen,28329,https://navigate.itb.com/company/ATLANTIC-Hotels-Management-GmbH--1003475,Maike Seedorff,Director Leisure Sales
Atlantis Dubai,United Arab Emirates,Dubai,211222,https://navigate.itb.com/company/Atlantis-Dubai--1003483,Dennis de Winter,"Account Director, Sales"
Atmosphere Core Private Limited,Maldives,Male,20054,https://navigate.itb.com/company/Atmosphere-Core-Private-Limited--1003505,Ali Abdulla,AVP - Marketing
Atmosphere Core Pvt Ltd,Maldives,Male',00,https://navigate.itb.com/company/Atmosphere-Core-Pvt-Ltd--1216269,Marc Gussing,Director of Operations
